ID	Level3_cod	Count
1	ABT	006
2	AFG	002
3	ALA	015
4	ALT	003
5	ALU	002
6	AMU	012
7	ARK	003
8	ASK	006
9	ASS	017
10	AUT	005
11	BAN	002
12	BGM	001
13	BIS	004
14	BLR	002
15	BLT	001
16	BOR	085
17	BRC	007
18	BRY	007
19	BUL	002
20	CAL	004
21	CBD	002
22	CHC	507
23	CHH	005
24	CHI	004
25	CHM	008
26	CHN	047
27	CHQ	021
28	CHS	142
29	CHT	231
30	CNT	006
31	COL	002
32	CTA	006
33	CZE	001
34	DEL	004
35	EAI	001
36	EHM	129
37	FIN	002
38	FLA	005
39	FRA	004
40	GEO	017
41	GER	005
42	GGI	001
43	GNL	004
44	GRB	004
45	IDA	004
46	ILL	003
47	IND	001
48	IRE	002
49	IRK	007
50	ITA	002
51	JAP	117
52	JAW	009
53	KAM	005
54	KAZ	001
55	KHA	012
56	KOR	016
57	KRA	005
58	KTY	008
59	KUR	008
60	LAB	001
61	LAO	013
62	LBS	002
63	LOU	002
64	LSI	006
65	MAG	008
66	MAI	005
67	MAN	003
68	MAS	005
69	MDR	002
70	MIC	001
71	MIN	001
72	MLY	017
73	MNT	003
74	MOL	011
75	MON	005
76	MRY	007
77	MSI	004
78	MSO	001
79	MYA	165
80	NBR	002
81	NCA	013
82	NCS	003
83	NEP	035
84	NET	001
85	NEV	001
86	NFL	004
87	NNS	005
88	NOR	002
89	NSC	003
90	NUN	003
91	NWG	189
92	NWH	006
93	NWJ	005
94	NWM	001
95	NWT	003
96	NWY	008
97	OGA	001
98	OHI	004
99	OKL	003
100	ONT	004
101	ORE	006
102	PAK	002
103	PEI	002
104	PEN	011
105	PHI	034
106	POL	002
107	POR	001
108	PRM	012
109	QLD	002
110	QUE	004
111	RHO	004
112	ROM	002
113	RUC	001
114	RUE	001
115	RUN	001
116	RUW	001
117	SAK	013
118	SAS	002
119	SCA	012
120	SOL	004
121	SPA	002
122	SRL	001
123	SUL	034
124	SUM	032
125	SWE	002
126	SWI	002
127	TAI	026
128	TCS	007
129	TEN	011
130	TEX	002
131	THA	010
132	TUE	001
133	TUR	010
134	TVA	005
135	UKR	003
136	UTA	001
137	VER	006
138	VIE	052
139	VRG	010
140	WAS	005
141	WHM	010
142	WIS	002
143	WSB	003
144	WVA	007
145	WYO	002
146	YAK	007
147	YUG	004
148	YUK	004
